id,name,state_id
1139,Sholavandan,23
1140,Saidpur,27
1141,Shamgarh,13
1142,Thammampatti,23
1143,Maharajpur,13
1144,Multai,13
1145,Mukerian,20
1146,Sirsi,27
1147,Purwa,27
1148,Sheohar,4
1149,Namagiripettai,23
1150,Parasi,27
1151,Lathi,7
1152,Lalganj,27
1153,Narkhed,14
1154,Mathabhanga,28
1155,Shendurjana,14
1156,Peravurani,23
1157,Mariani,3
1158,Phulpur,27
1159,Rania,8
1160,Pali,13
1161,Pachore,13
1162,Parangipettai,23
1163,Pudupattinam,23
1164,Panniyannur,12
1165,Maharajganj,4
1166,Rau,13
1167,Monoharpur,28
1168,Mandawa,21
1169,Marigaon,3
1170,Pallikonda,23
1171,Pindwara,21
1172,Shishgarh,27
1173,Patur,14
1174,Mayang Imphal,15
1175,Mhowgaon,13
1176,Guruvayoor,12
1177,Mhaswad,14
1178,Sahawar,27
1179,Sivagiri,23
1180,Mundargi,11
1181,Punjaipugalur,23
1182,Kailasahar,25
1183,Samthar,27
1184,Sakti,5
1185,Sadalagi,11
1186,Silao,4
1187,Mandalgarh,21
1188,Loha,14
1189,Pukhrayan,27
1190,Padmanabhapuram,23
1191,Belonia,25
1192,Saiha,17
1193,Srirampore,28
1194,Talwara,20
1195,Puthuppally,12
1196,Khowai,25
1197,Vijaypur,13
1198,Takhatgarh,21
1199,Thirupuvanam,23
1200,Adra,28
1201,Piriyapatna,11
1202,Obra,27
1203,Adalaj,7
1204,Nandgaon,14
1205,Barh,4
1207,Panamattom,12
1208,Niwai,27
1209,Bageshwar,26
1210,Tarbha,19
1211,Adyar,11
1212,Narsinghgarh,13
1213,Warud,14
1214,Asarganj,4
1215,Sarsod,8
1216,Garacharma,29
1217,Bombuflat,29
1218,Rangat,29
